regiao;estado;temperatura;tempo;estacao;periodo_dia;dia_semana;pesquisa
norte;RO;normal;nuvens;outono;noite;quinta;queijo
norte;AM;quente;ceu claro;inverno;madrugada;quinta;lasanha
nordeste;RN;quente;nuvens;primavera;manha;terca;queijo
nordeste;BA;frio;ceu claro;inverno;madrugada;terca;morango
centro-oeste;MT;quente;ceu claro;primavera;noite;domingo;laranja
sul;RS;normal;ceu claro;outono;madrugada;domingo;morango
norte;AP;frio;ceu claro;primavera;tarde;terca;bolonhesa
nordeste;PI;quente;chuva;outono;manha;terca;bolo
norte;PA;frio;chuva;inverno;madrugada;terca;uva
nordeste;PI;normal;ceu claro;inverno;manha;domingo;bolonhesa
nordeste;RN;frio;ceu claro;outono;madrugada;sabado;tapioca
nordeste;PE;frio;ceu claro;verao;tarde;terca;bolo
norte;AM;quente;ceu claro;primavera;tarde;segunda;panqueca
nordeste;RN;quente;ceu claro;verao;madrugada;quinta;frango
sul;PR;normal;nuvens;outono;manha;sexta;frango
nordeste;SE;normal;chuva;inverno;manha;terca;bolo
sudeste;RJ;frio;ceu claro;verao;noite;quarta;suco
nordeste;AL;frio;ceu claro;primavera;madrugada;domingo;suco
norte;RR;quente;nuvens;inverno;madrugada;segunda;suco
sul;PR;frio;ceu claro;verao;madrugada;quarta;morango
nordeste;MA;normal;ceu claro;inverno;noite;domingo;molho
sul;RS;frio;nuvens;primavera;manha;terca;panqueca
sul;SC;quente;chuva;outono;noite;segunda;suco
sudeste;SP;quente;nuvens;primavera;noite;quinta;sopa
norte;RO;normal;nuvens;outono;tarde;segunda;molho
norte;PA;quente;ceu claro;outono;madrugada;terca;uva
centro-oeste;MT;frio;nuvens;inverno;manha;segunda;queijo
nordeste;PB;quente;ceu claro;primavera;noite;domingo;suco
centro-oeste;GO;quente;nuvens;outono;noite;terca;queijo
sul;SC;quente;ceu claro;verao;manha;terca;rocambole
nordeste;PI;quente;ceu claro;inverno;manha;quarta;uva
sudeste;ES;quente;ceu claro;inverno;madrugada;sexta;panqueca
norte;AP;normal;nuvens;outono;noite;sexta;bolo
norte;AP;normal;chuva;outono;tarde;quinta;lasanha
centro-oeste;GO;quente;nuvens;outono;tarde;quarta;morango
norte;PA;quente;chuva;verao;noite;domingo;lasanha
norte;RR;normal;chuva;inverno;noite;terca;frango
sul;PR;quente;ceu claro;inverno;noite;quarta;molho
sudeste;ES;quente;ceu claro;verao;manha;sabado;queijo
centro-oeste;MS;quente;ceu claro;outono;manha;sexta;bolo
norte;TO;frio;ceu claro;primavera;madrugada;segunda;panqueca
norte;RO;normal;ceu claro;primavera;manha;quinta;tapioca
norte;AC;normal;ceu claro;verao;noite;quarta;uva
sudeste;ES;frio;chuva;inverno;noite;sexta;panqueca
norte;PA;quente;nuvens;verao;tarde;segunda;sopa
sudeste;MG;normal;chuva;verao;tarde;quarta;molho
sul;PR;normal;ceu claro;primavera;tarde;sabado;sopa
norte;PA;quente;chuva;outono;manha;domingo;uva
norte;AC;frio;nuvens;verao;noite;segunda;lasanha
nordeste;AL;frio;nuvens;primavera;manha;quarta;bolo
norte;RR;quente;ceu claro;inverno;noite;domingo;rocambole
nordeste;PE;quente;chuva;primavera;tarde;quarta;tapioca
norte;AC;normal;nuvens;verao;tarde;sabado;morango
centro-oeste;DF;frio;ceu claro;primavera;manha;sabado;tapioca
norte;RR;quente;nuvens;outono;noite;sabado;suco
nordeste;PB;quente;nuvens;inverno;madrugada;sexta;panqueca
nordeste;CE;normal;ceu claro;outono;noite;domingo;uva
norte;AC;normal;chuva;primavera;manha;segunda;panqueca
nordeste;PB;normal;chuva;primavera;noite;sexta;uva
sudeste;SP;normal;ceu claro;verao;tarde;segunda;suco
sul;RS;frio;nuvens;verao;tarde;domingo;panqueca
sul;SC;quente;ceu claro;inverno;manha;quinta;frango
norte;RO;normal;chuva;verao;tarde;terca;molho
centro-oeste;MS;quente;nuvens;inverno;tarde;sabado;panqueca
sul;RS;frio;nuvens;inverno;manha;quinta;panqueca
norte;AC;frio;nuvens;outono;madrugada;sabado;morango
norte;RR;normal;nuvens;inverno;tarde;quarta;molho
sudeste;MG;normal;ceu claro;inverno;manha;sexta;morango
centro-oeste;MS;frio;ceu claro;primavera;madrugada;sexta;laranja
norte;AM;normal;chuva;inverno;noite;sabado;rocambole
nordeste;PI;frio;nuvens;verao;noite;sabado;lasanha
nordeste;PI;frio;chuva;primavera;tarde;sexta;sopa
norte;AC;quente;nuvens;inverno;madrugada;segunda;sopa
sul;SC;quente;chuva;inverno;noite;sexta;queijo
nordeste;CE;normal;nuvens;verao;tarde;sabado;frango
nordeste;BA;normal;nuvens;verao;manha;quarta;tapioca
sudeste;RJ;normal;ceu claro;primavera;manha;segunda;suco
nordeste;MA;frio;ceu claro;verao;madrugada;domingo;suco
sul;PR;normal;nuvens;primavera;manha;sabado;frango
nordeste;CE;quente;nuvens;outono;madrugada;sabado;panqueca
nordeste;PE;normal;ceu claro;inverno;tarde;terca;rocambole
centro-oeste;MT;frio;ceu claro;verao;noite;sabado;uva
norte;AP;quente;ceu claro;verao;noite;terca;laranja
nordeste;PI;normal;nuvens;outono;noite;domingo;bolonhesa
nordeste;RN;frio;ceu claro;primavera;manha;sabado;frango
sudeste;RJ;quente;nuvens;primavera;tarde;quarta;bolo
centro-oeste;DF;normal;ceu claro;outono;madrugada;quarta;frango
nordeste;AL;frio;chuva;inverno;manha;segunda;molho
norte;TO;frio;chuva;outono;noite;quinta;sopa
sudeste;MG;frio;chuva;primavera;noite;terca;frango
nordeste;MA;normal;nuvens;inverno;madrugada;sabado;uva
sudeste;RJ;frio;ceu claro;primavera;manha;segunda;uva
norte;PA;frio;chuva;outono;tarde;segunda;panqueca
norte;RO;frio;nuvens;primavera;tarde;domingo;morango
sudeste;MG;normal;chuva;outono;manha;quarta;molho
norte;AC;normal;ceu claro;outono;tarde;quarta;morango
nordeste;MA;quente;nuvens;verao;madrugada;sabado;bolonhesa
nordeste;AL;normal;chuva;inverno;madrugada;sexta;panqueca
nordeste;PE;quente;chuva;outono;noite;sabado;morango
centro-oeste;DF;frio;nuvens;outono;madrugada;domingo;rocambole
centro-oeste;DF;quente;nuvens;inverno;madrugada;segunda;tapioca
nordeste;AL;frio;chuva;verao;tarde;terca;suco
centro-oeste;GO;quente;chuva;outono;noite;quarta;bolonhesa
nordeste;PI;normal;ceu claro;verao;tarde;sabado;frango
sudeste;SP;quente;nuvens;outono;noite;quinta;morango
norte;AP;normal;chuva;verao;manha;terca;bolo
